UF,CIDADE,LONG,LAT
RONDÔNIA,ALTA FLORESTA D'OESTE,-61.9998238962936,-11.9355403047646
RONDÔNIA,ARIQUEMES,-63.0332692780484,-9.9084628665672
RONDÔNIA,CABIXI,-60.5443135812009,-13.4997634596963
RONDÔNIA,CACOAL,-61.4429442118224,-11.4338650286852
RONDÔNIA,CEREJEIRAS,-60.8184261646815,-13.1950330320399
RONDÔNIA,COLORADO DO OESTE,-60.5550674630789,-13.1305638414553
RONDÔNIA,CORUMBIARA,-60.9487011706614,-12.9975202364834
RONDÔNIA,COSTA MARQUES,-64.2316539391172,-12.4360138777142
RONDÔNIA,ESPIGÃO D'OESTE,-61.0201731132847,-11.5285546333473
RONDÔNIA,GUAJARÁ-MIRIM,-65.3239518196923,-10.7738837406705
RONDÔNIA,JARU,-62.4762307081317,-10.4359487678844
RONDÔNIA,JI-PARANÁ,-61.9450945826841,-10.8820513183490
RONDÔNIA,MACHADINHO D'OESTE,-61.9995925724466,-9.4255624800000
RONDÔNIA,NOVA BRASILÂNDIA D'OESTE,-62.3082301630190,-11.7213254138559
RONDÔNIA,OURO PRETO DO OESTE,-62.2610551904363,-10.7235739008135
RONDÔNIA,PIMENTA BUENO,-61.1836656736420,-11.6775369900000
RONDÔNIA,PORTO VELHO,-63.8314456543611,-8.7688917900000
RONDÔNIA,PRESIDENTE MÉDICI,-61.9094386835298,-11.1732050162268
RONDÔNIA,RIO CRESPO,-62.9000103659589,-9.7055367097395
RONDÔNIA,ROLIM DE MOURA,-61.7857809351854,-11.7222589133808
RONDÔNIA,SANTA LUZIA D'OESTE,-61.7733054630545,-11.9084233324690
RONDÔNIA,VILHENA,-60.1385838660987,-12.7413734718029
RONDÔNIA,SÃO MIGUEL DO GUAPORÉ,-62.7200634814364,-11.6994897438059
RONDÔNIA,NOVA MAMORÉ,-65.3291490231467,-10.4117712947002
RONDÔNIA,ALVORADA D'OESTE,-62.2772748656972,-11.3441300234334
RONDÔNIA,ALTO ALEGRE DOS PARECIS,-61.8530771686030,-12.1317772245709
RONDÔNIA,ALTO PARAÍSO,-63.3176294334976,-9.7166667380773
RONDÔNIA,BURITIS,-63.8296787917565,-10.2098054072356
RONDÔNIA,NOVO HORIZONTE DO OESTE,-61.9943876627606,-11.7097429200152
